t_s,mass_mean_kg
318.000000,0.003953
319.000000,0.003560
320.000000,0.003155
321.000000,0.002755
322.000000,0.002384
323.000000,0.002028
324.000000,0.001694
325.000000,0.001397
326.000000,0.001159
327.000000,0.000947
328.000000,0.000764
329.000000,0.000582
330.000000,0.000410
331.000000,0.000237
332.000000,0.000117
333.000000,0.000057
334.000000,0.000000
